id_historial,id_terreno,Nombre_cultivo,familia,fecha_siembra,fecha_cosecha,rendimiento_kg_total,margen_neto_total (€),unidades_sembradas_total,modo_producción,tipo_cliente_objetivo,observaciones
25,6,Endivia,Leguminosa,2023-04-11,2023-07-24,1103.11,245.79 €,6369.0,manual,mayorista,Necesidad de mejora en drenaje superficial.
26,1,Espinaca,Asterácea,2024-05-19,2024-07-18,546.47,121.65 €,8018.0,manual,hostelería,Necesidad de mejora en drenaje superficial.
27,16,Pepino,Leguminosa,2023-05-01,2023-08-06,750.99,208.31 €,14892.0,manual,autoconsumo,Cosecha anticipada por previsión climática adversa.
28,9,Pimiento,Leguminosa,2023-05-06,2023-07-18,1981.7,549.49 €,11519.0,mecanizado,autoconsumo,Cosecha anticipada por previsión climática adversa.
29,7,Alcachofa,Solanácea,2024-03-10,2024-06-19,607.45,198.16 €,7952.0,mixto,hostelería,Necesidad de mejora en drenaje superficial.
30,12,Berenjena,Quenopodiácea,2023-03-20,2023-07-16,897.29,337.5 €,2854.0,mecanizado,venta directa,Alta incidencia de oídio mitigada con tratamiento ecológico.
31,11,Acelga,Apiácea,2023-03-06,2023-06-13,2337.4,992.7 €,12840.0,mixto,autoconsumo,Producción afectada por heladas tempranas.
32,1,Endivia,Quenopodiácea,2024-04-27,2024-08-15,1642.69,540.23 €,6838.0,manual,mayorista,Necesidad de mejora en drenaje superficial.
33,10,Pepino,Solanácea,2022-05-22,2022-09-19,1941.34,848.72 €,4451.0,mecanizado,hostelería,Excelente uniformidad de fruto.
34,20,Pepinillo,Liliácea,2024-05-11,2024-07-18,922.75,317.15 €,6866.0,mixto,mayorista,Alta incidencia de oídio mitigada con tratamiento ecológico.
35,20,Cebolla,Leguminosa,2024-02-18,2024-05-10,2183.41,746.25 €,14669.0,manual,mayorista,Producción por encima de la media esperada.
36,8,Calabacín,Asterácea,2023-04-02,2023-07-18,1525.3,311.34 €,12019.0,manual,autoconsumo,Necesidad de mejora en drenaje superficial.
37,12,Tomate,Solanácea,2024-03-14,2024-05-29,2801.85,1296.47 €,11399.0,mecanizado,mayorista,Cosecha anticipada por previsión climática adversa.
38,17,Alcachofa,Brasicácea,2023-03-04,2023-05-13,1114.75,534.12 €,12498.0,mecanizado,venta directa,Recomendado realizar análisis foliar en próximas campañas.
39,17,Pepino,Quenopodiácea,2022-05-24,2022-08-02,2227.68,1077.98 €,3267.0,mecanizado,hostelería,Excelente uniformidad de fruto.
40,3,Remolacha,Asterácea,2022-04-27,2022-06-29,2386.19,798.93 €,10617.0,mecanizado,mayorista,Necesidad de mejora en drenaje superficial.
41,11,Pepino,Leguminosa,2022-04-04,2022-07-12,380.32,98.73 €,13019.0,mixto,hostelería,Recomendado realizar análisis foliar en próximas campañas.
42,4,Guisante,Apiácea,2023-03-22,2023-06-18,816.81,274.68 €,8368.0,mixto,autoconsumo,Cosecha anticipada por previsión climática adversa.
43,16,Tomate,Solanácea,2023-04-22,2023-07-12,2278.08,489.87 €,7338.0,manual,hostelería,Cosecha anticipada por previsión climática adversa.
44,8,Pimiento,Brasicácea,2023-03-08,2023-06-06,1410.67,702.66 €,10702.0,mixto,mayorista,Recomendado realizar análisis foliar en próximas campañas.
45,10,Apio,Apiácea,2023-04-11,2023-06-13,2258.52,740.4 €,3453.0,manual,autoconsumo,Cosecha anticipada por previsión climática adversa.
46,14,Acelga de verano,Solanácea,2023-10-11,2024-01-29,950.6,1627.74,4090.0,Mixto,Minorista,Sensible a plagas foliares; se recomienda vigilancia intensiva.
47,11,Acelga de verano,Leguminosa,2022-07-20,2022-11-30,1632.0,1909.13,5672.0,Convencional,Cooperativa,"Adaptado a sistemas mixtos, ideal para cultivos de rotación."
48,4,Acelga de verano,Amarilidácea,2022-05-13,2022-08-18,2465.1,1032.67,4659.0,Ecológico,Minorista,Desarrollo óptimo en condiciones de baja humedad y clima templado.
49,12,Achicoria,Brassicácea,2022-09-16,2023-01-07,2560.1,1426.04,1920.0,Intensivo,Exportación,Rendimiento mejorado en zonas mediterráneas con exposición solar media.
50,9,Achicoria,Umbelífera,2023-01-14,2023-04-27,3022.1,126.24,4948.0,Convencional,Exportación,Requiere monitoreo frecuente de pH para evitar deficiencias nutricionales.
51,19,Achicoria,Quenopodiácea,2023-09-16,2023-11-30,3146.6,2426.86,4195.0,Extensivo,Hostelería,Alto potencial productivo con necesidades hídricas medias.
52,1,Berro,Umbelífera,2023-05-12,2023-08-22,3075.4,1654.38,5740.0,Intensivo,Mayorista,Cultivo con alta respuesta al manejo ecológico en suelos bien drenados.
53,15,Berro,Liliácea,2022-03-16,2022-08-13,2578.7,2384.52,4202.0,Intensivo,Mayorista,Puede extenderse su cosecha con manejo adecuado de riego y fertilización.
54,7,Berro,Compuesta,2023-06-20,2023-09-17,1347.4,1721.46,3672.0,Ecológico,Minorista,Sensible a plagas foliares; se recomienda vigilancia intensiva.
55,16,Berza,Amarilidácea,2024-09-20,2025-01-18,3410.4,1532.75,1242.0,Intensivo,Mayorista,Alto potencial productivo con necesidades hídricas medias.
56,15,Berza,Leguminosa,2023-04-09,2023-08-23,2393.0,885.64,5326.0,Convencional,Minorista,Sensible a plagas foliares; se recomienda vigilancia intensiva.
57,8,Berza,Quenopodiácea,2023-11-25,2024-02-15,2518.7,376.78,1176.0,Extensivo,Cooperativa,Desarrollo óptimo en condiciones de baja humedad y clima templado.
58,1,Brócoli,Compuesta,2022-08-26,2023-01-02,2287.5,536.59,2122.0,Ecológico,Minorista,Alto potencial productivo con necesidades hídricas medias.
59,2,Brócoli,Cucurbitácea,2024-06-21,2024-09-30,749.4,107.67,3240.0,Extensivo,Hostelería,Requiere monitoreo frecuente de pH para evitar deficiencias nutricionales.
60,1,Brócoli,Compuesta,2022-04-10,2022-08-18,1132.3,2221.41,5886.0,Convencional,Cooperativa,Alto potencial productivo con necesidades hídricas medias.
61,15,Canónigos,Brassicácea,2024-04-23,2024-07-27,3448.7,217.7,3547.0,Extensivo,Hostelería,"Adaptado a sistemas mixtos, ideal para cultivos de rotación."
62,19,Canónigos,Amarilidácea,2024-06-08,2024-10-11,2011.9,197.29,1973.0,Ecológico,Minorista,Requiere monitoreo frecuente de pH para evitar deficiencias nutricionales.
63,9,Canónigos,Liliácea,2024-07-21,2024-11-02,3235.2,1847.85,3097.0,Ecológico,Hostelería,Puede extenderse su cosecha con manejo adecuado de riego y fertilización.
64,17,Cardo,Umbelífera,2023-10-05,2023-12-28,914.2,2139.35,3177.0,Convencional,Minorista,Puede extenderse su cosecha con manejo adecuado de riego y fertilización.
65,9,Cardo,Compuesta,2023-02-07,2023-06-28,3835.0,1493.79,3896.0,Mixto,Hostelería,Requiere monitoreo frecuente de pH para evitar deficiencias nutricionales.
66,10,Cardo,Amarilidácea,2024-04-28,2024-07-27,984.1,1119.91,2064.0,Intensivo,Mayorista,Puede extenderse su cosecha con manejo adecuado de riego y fertilización.
67,17,Coles de Bruselas,Crucífera,2023-06-23,2023-09-16,1094.4,1770.8,2049.0,Intensivo,Hostelería,Puede extenderse su cosecha con manejo adecuado de riego y fertilización.
68,15,Coles de Bruselas,Brassicácea,2022-04-21,2022-07-31,2218.4,183.25,1606.0,Ecológico,Minorista,"Adaptado a sistemas mixtos, ideal para cultivos de rotación."
69,16,Coles de Bruselas,Solanácea,2023-04-19,2023-07-15,2633.9,663.81,5143.0,Extensivo,Hostelería,Sensible a plagas foliares; se recomienda vigilancia intensiva.
70,10,Escarola,Cucurbitácea,2024-08-16,2024-11-23,3692.8,527.01,4274.0,Convencional,Mayorista,Puede extenderse su cosecha con manejo adecuado de riego y fertilización.
71,13,Escarola,Quenopodiácea,2022-04-19,2022-08-18,2034.9,2139.49,2810.0,Extensivo,Mayorista,Sensible a plagas foliares; se recomienda vigilancia intensiva.
72,17,Escarola,Liliácea,2024-05-28,2024-09-27,1882.1,1672.17,3118.0,Mixto,Hostelería,"Adaptado a sistemas mixtos, ideal para cultivos de rotación."
73,19,Judía verde,Liliácea,2024-09-14,2025-01-03,2441.9,580.03,2607.0,Extensivo,Minorista,Rendimiento mejorado en zonas mediterráneas con exposición solar media.
74,13,Judía verde,Cucurbitácea,2023-04-04,2023-07-01,2142.1,2087.61,5661.0,Convencional,Minorista,Cultivo con alta respuesta al manejo ecológico en suelos bien drenados.
75,18,Judía verde,Quenopodiácea,2024-06-23,2024-11-16,1226.9,2443.42,2936.0,Extensivo,Minorista,Adecuado para producción bajo cubierta en zonas con heladas tardías.
76,18,Mizuna,Amarilidácea,2022-04-12,2022-07-12,2919.5,2232.84,5649.0,Extensivo,Mayorista,Desarrollo óptimo en condiciones de baja humedad y clima templado.
77,2,Mizuna,Compuesta,2022-12-03,2023-04-01,2149.1,2043.72,702.0,Extensivo,Exportación,Cultivo con alta respuesta al manejo ecológico en suelos bien drenados.
78,5,Mizuna,Compuesta,2024-11-04,2025-02-02,3618.9,2280.22,5726.0,Convencional,Minorista,"Adaptado a sistemas mixtos, ideal para cultivos de rotación."
79,12,Nabo,Leguminosa,2023-04-07,2023-07-18,2125.7,1795.47,2208.0,Mixto,Minorista,Se sugiere rotación con leguminosas para mantener la fertilidad del suelo.
80,20,Nabo,Compuesta,2024-09-08,2025-02-02,3660.4,1599.94,5947.0,Intensivo,Cooperativa,Adecuado para producción bajo cubierta en zonas con heladas tardías.
81,14,Nabo,Brassicácea,2022-09-21,2022-12-11,1769.3,2181.52,3146.0,Convencional,Hostelería,Cultivo con alta respuesta al manejo ecológico en suelos bien drenados.
82,1,Pak Choi,Leguminosa,2023-02-23,2023-06-01,3566.3,2333.99,1858.0,Mixto,Mayorista,Alto potencial productivo con necesidades hídricas medias.
83,3,Pak Choi,Compuesta,2022-12-28,2023-03-16,3633.5,460.03,2170.0,Convencional,Hostelería,Rendimiento mejorado en zonas mediterráneas con exposición solar media.
84,10,Pak Choi,Cucurbitácea,2024-04-02,2024-07-18,2005.3,1846.33,4851.0,Intensivo,Mayorista,Adecuado para producción bajo cubierta en zonas con heladas tardías.
85,16,Repollo,Liliácea,2022-01-14,2022-05-25,3736.2,402.35,1600.0,Extensivo,Cooperativa,Rendimiento mejorado en zonas mediterráneas con exposición solar media.
86,4,Repollo,Liliácea,2022-03-17,2022-06-17,2395.3,2232.72,1288.0,Convencional,Exportación,Desarrollo óptimo en condiciones de baja humedad y clima templado.
87,20,Repollo,Umbelífera,2023-06-20,2023-10-28,2255.7,1974.37,4992.0,Intensivo,Minorista,Desarrollo óptimo en condiciones de baja humedad y clima templado.
88,9,Rúcula,Compuesta,2022-11-09,2023-03-10,2578.4,198.82,3221.0,Mixto,Exportación,Puede extenderse su cosecha con manejo adecuado de riego y fertilización.
89,3,Rúcula,Brassicácea,2024-07-18,2024-10-16,3614.6,693.52,4638.0,Intensivo,Cooperativa,Se sugiere rotación con leguminosas para mantener la fertilidad del suelo.
90,9,Rúcula,Compuesta,2022-12-26,2023-05-19,3610.2,1642.66,5647.0,Extensivo,Cooperativa,Requiere monitoreo frecuente de pH para evitar deficiencias nutricionales.
91,12,Zanahoria,Quenopodiácea,2023-10-04,2024-02-06,3596.1,2129.59,5440.0,Convencional,Hostelería,Cultivo con alta respuesta al manejo ecológico en suelos bien drenados.
92,7,Zanahoria,Compuesta,2023-03-07,2023-06-05,782.9,2089.01,2880.0,Intensivo,Exportación,Puede extenderse su cosecha con manejo adecuado de riego y fertilización.
93,7,Zanahoria,Liliácea,2023-04-22,2023-09-11,2079.8,1066.0,5205.0,Extensivo,Mayorista,Cultivo con alta respuesta al manejo ecológico en suelos bien drenados.
